gen,max_sectors_kb,nr_requests,read_ahead_kb,nomerges,scheduler,rq_affinity,read_throughput,read_latency,is_pareto,throughput,latency
6.0,2541,35,0,0,0,0,833903.0,464896.0,0.0,833.903,0.464896
6.0,3130,83,0,0,0,1,1008145.0,561152.0,0.0,1008.145,0.561152
6.0,3256,24,0,0,2,1,821390.0,468992.0,0.0,821.39,0.468992
6.0,842,51,0,0,1,1,986947.0,561152.0,0.0,986.947,0.561152
6.0,3119,83,0,1,0,1,992713.0,577536.0,0.0,992.713,0.577536
6.0,2569,78,0,0,0,1,810687.0,468992.0,0.0,810.687,0.468992
6.0,3119,83,0,1,0,0,814999.0,481280.0,0.0,814.999,0.48128
6.0,3890,26,5,1,2,1,815830.0,544768.0,0.0,815.83,0.544768
6.0,2569,78,0,2,0,1,968262.0,569344.0,0.0,968.262,0.569344
6.0,311,29,0,0,0,1,837033.0,561152.0,0.0,837.033,0.561152
6.0,1324,78,0,0,0,1,983524.0,1073152.0,0.0,983.524,1.073152
6.0,1922,54,4,1,2,2,777768.0,477184.0,0.0,777.768,0.477184
6.0,1572,53,0,1,0,1,804070.0,536576.0,0.0,804.07,0.536576
6.0,1925,35,4,0,0,2,780430.0,485376.0,0.0,780.43,0.485376
6.0,2883,46,2,2,0,1,905764.0,577536.0,0.0,905.764,0.577536
6.0,1226,37,4,0,1,0,915599.0,585728.0,0.0,915.599,0.585728
6.0,844,51,1,2,2,1,942355.0,593920.0,0.0,942.355,0.59392
6.0,2026,51,5,1,0,1,822155.0,569344.0,0.0,822.155,0.569344
6.0,1691,40,6,1,0,1,760630.0,481280.0,0.0,760.63,0.48128
6.0,125,32,3,1,0,2,778393.0,522240.0,0.0,778.393,0.52224
